"専攻コース","科目名","担当教員","受講者数","5","4","3","2","1","0"
"情報アーキテクチャ","Javaプログラミング技法","張 晁逢","29","8","8","8","2","2","1"
"情報アーキテクチャ","コミュニケーション技術特論","中鉢 欣秀","21","1","12","4","1","1","1"
"情報アーキテクチャ","ソフトウェア工学特論","追川 修一","50","10","17","11","7","1","4"
"情報アーキテクチャ","フレームワーク開発特論","安川 要平","41","13","11","4","4","8","1"
"情報アーキテクチャ","プロジェクト管理特論1","三好 きよみ","28","18","8","1","0","0","1"
"情報アーキテクチャ","情報アーキテクチャ特論1","小山 裕司","29","1","8","6","10","4","0"
"情報アーキテクチャ","情報セキュリティ特論","奥原 雅之","65","10","25","16","7","4","3"
"創造技術","インテリジェントシステム特論","林 久志","35","4","2","8","5","7","9"
"創造技術","データサイエンス特論","橋本 洋志,大久保 友幸","39","26","9","1","1","2","0"
"創造技術","プロダクトデザイン特論","内山 純","18","4","11","1","0","0","2"
"創造技術","プロトタイピング工学特論","近藤 嘉男,内山 純","33","6","15","7","2","0","3"
"創造技術","設計工学特論","伊藤 潤","27","4","11","2","7","1","2"
"創造技術","エマージング・イノベーション特論","吉田 敏","23","6","16","0","0","0","1"
"事業設計工学","サービスサイエンス特論","松尾 徳朗","43","17","16","3","4","0","3"
"事業設計工学","会計・ファイナンス工学特論","三好 祐補","21","19","1","0","0","0","1"
"事業設計工学","事業設計工学概論","事業設計工学コース教員","30","13","10","4","3","0","0"
"事業設計工学","事業方向性設計特論","廣瀬 雄大","26","9","14","0","0","1","2"
"共通","技術倫理","伏見 靖,川田 誠一","51","15","32","2","0","0","2"
